十單組(1),名稱,,風雲組(6),名稱,,,寶可夢組(9),名稱,,,狩魔組(0),名稱,,幽魔組(3),名稱,,,,奇兵組(0),名稱,,白蘭地組(0),名稱,,殘兵黃鴨組(0),名稱,,特別行動組(0),名稱,,,,總人數,203
1,色,*,1,風雲丨咖啡豆,,*,1,張雲陽,,,1,狩丨路人華沙,*,1,冥神幽魔,,*,,1,奇兵丨域奇,,1,干邑白蘭地  222060,,1,丨金城武丨,,1,無極神諭,風雲,,,戰力,192
2,爻明里紬爻,*,2,風雲丨飛揚,,*,2,偶叫獒丨偷穿,*,,2,狩丨龍,,2,黑色狂吻,,*,,2,奇兵丨沐漓,,2,干邑白蘭地M 1141044,,2,非禮丨布衣,,2,銳城衛,風雲,,,特別行動,11
3,十單丨火雞,*,3,鍾世玉,,*,3,大蔥鴨丨女神,*,,3,照見六道皆凶,,3,和平,會改名為(牙腸),,,3,奇兵丨貓子,,3,楊大平  1901843,,3,丨梁朝偉丨,,3,小號豆,風雲,,,,
4,十單丨仲謀,*,4,風雲丨小牛皮,會改名,,4,溫刀刀,,,4,狩魔親尉B,*,4,初春,,,,4,奇兵丨馬子,,4,高手    223064,,4,半邊尿捅,,4,幕後大老爺,風雲,,,,
5,十單丨小熊,,5,金喵丨金毛仔,,,5,可達鴨丨米羅,,,5,圓圓IU圓圓,,5,百里香,,,,5,奇兵丨恨福,,5,冰封之谷 223258,,5,半邊飯捅,,5,惡哞丨冰美式,十單,,,,
6,十單丨大叔,,6,風雲丨馬爺,,,6,小拳石丨數字,,,6,公子白F,,6,秋風,,,,6,奇兵丨桌子,,6,你個壞野左33636,,6,半邊酒捅,,6,立冬丨千雪,十單,,,,
7,十單丨轟騳,,7,風雲丨招財貓,,*,7,基拉祈丨沒中,,,7,狩丨月,,7,十四,,,,7,奇兵丨巨巨,,7,百厭  28610,,7,米咕,,7,陸夢路,十單,,,,
8,十單丨姣狐,,8,風雲丨童話,,,8,頑皮熊貓丨D,,,8,雪代緣,,8,細細佬,,,,8,奇兵丨咪子,,8,假姜維 27540,,8,夜空灰灰,,8,戳丨韓文,十單,,,噴火龍丨有中,?
9,湯哥,,9,風雲彡霸權熊,,,9,漢堡帥哥,,,9,狩丨水記,*,9,仲達,,,,9,熊出沒注意,,9,身分證 35053,,9,曹友學,,9,豆沙,幽魔,,,,
10,事鬼旦,*,10,風雲丨小綺白,,,10,亞須彌あおい,,,10,狩丨狩魔鳳,,10,KI,,,,10,奇兵丨明心,,10,鬼神證 32449,,10,半邊欠捅,,10,刀疤用,幽魔,,,,
